18,4,1236,887,151,64,132,2,112,5,1.72
19,1,3663,3371,251,13,12,16,79,38,1.10
19,2,1015,901,103,2,6,3,117,16,1.14
19,3,36700,29680,2686,1063,3015,256,6695,1100,1.54
19,4,3430,2792,232,57,331,18,513,145,1.67
20,1,118,103,4,3,3,5,35,17,1.19
20,2,271,247,4,0,1,19,58,19,1.04
20,3,1016,903,26,12,25,50,745,63,1.15
20,4,104,89,3,2,9,1,966,2,1.47
21,1,3058,2836,107,23,91,1,20,3,1.20
21,2,5186,4924,221,6,30,5,427,10,1.07
21,3,46413,36258,3621,1824,4642,68,1310,120,1.65
21,4,3981,3047,395,145,393,1,154,14,1.65
22,1,915,846,65,1,3,0,13,5,1.09
22,2,761,590,122,1,48,0,43,10,1.41
22,3,12436,8212,1311,596,2247,70,861,239,2.04
22,4,740,530,142,10,50,8,27,5,1.52
23,1,809,759,35,0,6,9,14,7,1.09
23,2,427,413,13,0,0,1,14,1,1.03
23,3,10195,7327,852,508,1423,85,586,162,1.97
23,4,878,501,171,35,160,11,56,10,2.40
24,1,1671,1611,41,4,6,9,33,10,1.04
24,2,3778,3404,361,4,4,5,177,21,1.10
24,3,25332,19486,2423,1250,2053,120,1327,263,1.55
24,4,2058,1640,171,108,134,5,177,38,1.45
25,1,1918,1616,268,8,24,2,74,6,1.20
25,2,1589,1496,66,5,17,5,334,3,1.09
25,3,26317,17353,3158,1604,4084,118,2252,204,2.03
25,4,3916,2553,705,141,504,13,308,31,1.92
26,1,1950,1835,101,5,2,7,112,13,1.06
26,2,1023,974,39,2,6,2,263,1,1.07
26,3,21458,16332,1622,816,2483,205,3142,252,1.74
26,4,1986,1614,174,66,127,5,225,16,1.45
27,1,1356,1313,19,11,10,3,24,13,1.06
27,2,2277,2228,27,4,10,8,53,19,1.03
27,3,19080,15698,996,750,1538,98,859,402,1.52
27,4,2012,1747,120,60,62,23,154,35,1.24
28,1,2081,1696,346,23,15,1,61,5,1.22
28,2,1463,1325,108,16,6,8,129,8,1.11
28,3,27922,18805,3436,1536,3960,185,3995,327,1.95
28,4,3939,2484,709,226,479,41,764,47,1.96
29,1,980,954,18,5,2,1,16,1,1.03
29,2,437,432,5,0,0,0,17,2,1.01
29,3,12778,9300,1044,787,1619,28,535,61,1.80
29,4,1333,1012,99,64,158,0,78,5,1.79
30,1,6043,5595,421,12,9,6,35,7,1.08
30,2,9989,9433,535,8,4,9,94,23,1.06
30,3,73002,58474,7165,2603,4618,142,1049,233,1.47
30,4,6767,4984,1135,239,396,13,140,33,1.52
31,1,1457,1395,24,6,28,4,81,25,1.10
31,2,770,752,10,1,5,2,54,24,1.04
31,3,17625,13412,1399,923,1764,127,2684,1088,1.64
31,4,936,796,61,18,61,0,216,81,1.40
32,1,1000,957,29,5,8,1,29,10,1.07
32,2,2178,2133,28,1,4,12,443,58,1.02
32,3,13272,10796,585,485,1337,69,1136,245,1.60
32,4,995,834,53,47,59,2,101,11,1.42
